 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;Martin;Marinčin;-;O;TRI;0;L;SVK;;;;;;;;;;;;;
;David;Musil;26/27;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Richard;Nedomlel;-;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Pavel;Průšek;27/28;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Ales;Zielinski;27/28;O;TRI;0;L;CZE;;;;;;;;;;;;;
;Adam;Cedzo;-;RW;TRI;0;P;SVK;;;;;;;;;;;;;
;David;Cienciala;26/27;LW;TRI;0;L;CZE;;;;;;;;;;;;;
;Marko;Daňo;-;LW;TRI;0;L;SVK;;;;;;;;;;;;;
;Vladimír;Dravecký;-;LW;TRI;0;L;SVK;;;;;;;;;;;;;
;Oscar;Flynn;28/29;LW;TRI;0;L;CZE;;;;;;;;;;;;;
;Patrik;Hrehorčák;26/27;LW;TRI;0;L;SVK;;;;;;;;;;;;;
;Libor;Hudáček;26/27;RW;TRI;0;P;SVK;;;;;;;;;;;;;
;Ondřej;Kovařčík;26/27;LW;TRI;0;L;CZE;;;;;;;;;;;;;
;Michal;Kovařčík;27/28;C;TRI;0;L;CZE;;;;;;;;;;;;;
;Matěj;Kubiesa;-;RW;TRI;0;P;CZE;;;;;;;;;;;;;
;Daniel;Kurovský;26/27;LW;TRI;0;P;CZE;;;;;;;;;;;;;
;Andrej;Nestrašil;-;RW;TRI;0;L;CZE;;;;;;;;;;;;;
;Miloš;Roman;-;C;TRI;0;L;SVK;;;;;;;;;;;;;
;Martin;Růžička;-;RW;TRI;0;P;CZE;;;;;;;;;;;;;
;Petr;Sikora;-;C;TRI;0;L;CZE;;;;;;;;;;;;;
;Petr;Vrána;-;C;TRI;0;L;CZE;;;;;;;;;;;;;
;Patrik;Brůna;26/27;O;VIT;0;L;CZE;;;;;;;;;;;;;
;Vojtěch;Budík;26/27;O;VIT;0;L;CZE;;;;;;;;;;;;;
;Patrik;Demel;28/29;O;VIT;0;L;CZE;;;;;;;;;;;;;
;Ralfs;Freibergs;26/27;O;VIT;0;L;LAT;;;;;;;;;;;;;
;Samuel;Knažko;26/27;O;VIT;0;L;SVK;;;;;;;;;;;;;
;Joe;Leahy;26/27;O;VIT;0;L;CAN;;;;;;;;;;;;;
;Vojtěch;Port;26/27;O;VIT;0;P;CZE;;;;;;;;;;;;;
;Matěj;Prčík;-;O;VIT;0;L;CZE;;;;;;;;;;;;;
;Josh;Wesley;26/27;O;VIT;0;P;USA;;;;;;;;;;;;;
;Jakub;Zbořil;-;O;VIT;0;L;CZE;;;;;;;;;;;;;
;Jindřich;Abdul;26/27;RW;VIT;0;L;CZE;;;;;;;;;;;;;
;Lucas;Edmonds;TRY-OUT;RW;VIT;0;P;SWE;;;;;;;;;;;;;
;Martin;Hanzl;-;C;VIT;0;L;CZE;;;;;;;;;;;;;
;Petr;Hauser;26/27;RW;VIT;0;P;CZE;;;;;;;;;;;;;
;Jan;Hladonik;-;C;VIT;0;L;CZE;;;;;;;;;;;;;
;Marek;Hrivik;27/28;C;VIT;0;L;SVK;;;;;;;;;;;;;
;Marek;Kalus;27/28;LW;VIT;0;L;CZE;;;;;;;;;;;;;
;Vojtěch;Lednický;-;LW;VIT;0;P;CZE;;;;;;;;;;;;;
;Krzysztof;Macias;26/27;LW;VIT;0;L;POL;;;;;;;;;;;;;
;Anthony;Nellis;27/28;LW;VIT;0;L;CAN;;;;;;;;;;;;;
;Matěj;Přibyl;-;C;VIT;0;P;CZE;;;;;;;;;;;;;
;Branden;Troock;-;RW;VIT;0;P;CAN;;;;;;;;;;;;;
;Jan;Šír;27/28;C;VIT;0;P;CZE;;;;;;;;;;;;;
;Chad;Yetman;26/27;C;VIT;0;L;CAN;;;;;;;;;;;;;
;Šimon;Fasner;26/27;C;VIT;0;L;CZE;;;;;;;;;;;;;
