 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;Jan;Suss;-;C;KOM;0;L;CZE;;;;;;;;;;;;;
;Adam;Veselský;-;W;KOM;0;L;CZE;;;;;;;;;;;;;
;Adam;Zbořil;27/28;C;KOM;0;L;CZE;;;;;;;;;;;;;
;Hynek;Zohorna;-;RW;KOM;0;P;CZE;;;;;;;;;;;;;
;Tomáš;Zohorna;-;C;KOM;0;L;CZE;;;;;;;;;;;;;
;Tory;Dello;-;O;KVA;0;P;USA;;;;;;;;;;;;;
;Ondřej;Dorot;-;O;KVA;0;P;CZE;;;;;;;;;;;;;
;Kryštof;Dyk;-;O;KVA;0;L;CZE;;;;;;;;;;;;;
;Janis;Jaks;-;O;KVA;0;P;LAT;;;;;;;;;;;;;
;Matteo;Kočí;-;O;KVA;0;L;CZE;;;;;;;;;;;;;
;Roberts;Mamcis;26/27;O;KVA;0;L;LAT;;;;;;;;;;;;;
;Dalimil;Mikyska;-;O;KVA;0;L;CZE;;;;;;;;;;;;;
;David;Moravec;-;O;KVA;0;L;CZE;;;;;;;;;;;;;
;Josef;Myšák;26/27;O;KVA;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Postl;-;O;KVA;0;L;CZE;;;;;;;;;;;;;
;Adam;Rulík;-;O;KVA;0;L;CZE;;;;;;;;;;;;;
;Jan;Bambula;-;LW;KVA;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Beránek;27/28;LW;KVA;0;L;CZE;;;;;;;;;;;;;
;Jiří;Černoch;-;C;KVA;0;P;CZE;;;;;;;;;;;;;
;Haralds;Egle;26/27;C;KVA;0;P;LAT;;;;;;;;;;;;;
;Vít;Jiskra;-;C;KVA;0;L;CZE;;;;;;;;;;;;;
;Nick;Jones;-;C;KVA;0;P;CAN;;;;;;;;;;;;;
;Filip;Koffer;-;RW;KVA;0;L;CZE;;;;;;;;;;;;;
;Adam;Lukošík;-;LW;KVA;0;L;SVK;;;;;;;;;;;;;
;Sebastián;Malát;26/27;C;KVA;0;L;CZE;;;;;;;;;;;;;
;Jakub;Minárik;26/27;C;KVA;0;L;SVK;;;;;;;;;;;;;
;Tomáš;Redlich;-;W;KVA;0;L;CZE;;;;;;;;;;;;;
;Robin;Sapoušek;26/27;C;KVA;0;L;CZE;;;;;;;;;;;;;
;David;Šťastný;26/27;LW;KVA;0;L;CZE;;;;;;;;;;;;;
;Petr ;Tomek;Junior;C;KVA;0;L;CZE;;;;;;;;;;;;;
;Layton;Ahac;26/27;O;LIB;0;L;CAN;;;;;;;;;;;;;
;Tomáš;Galvas;26/27;O;LIB;0;L;CZE;;;;;;;;;;;;;
